group,content,url,valence,arousal,dominance,moral1,moral2,moral3
lib,Fun fact - the government in a democracy is to do what the general public will it. Not what corporations or a court decide. #NoBillNoBreak,https://twitter.com/a/status/745934113295712256,0.997897058,0.599359634,0.678961652,0.599548979,0.811899586,0.528314539
lib,"@SpeakerRyan @HouseGOP Rep. Lewis is a man of integrity. One of your own, Gabby Giffords was affected by gun violence. #NoBillNoBreak",https://twitter.com/a/status/745770269680209921,0.223836693,0.580395898,0.101330655,0.697491248,0.683635622,0.105243794
con,Obamas such a fucking idiot. He didn't even mention that the Orlando shooting had Islamic ties. He said we need more gun control.,https://twitter.com/a/status/742156303833829376,0.658381576,0.145997813,0.107761014,0.19993511,0.606825885,0.777059447
lib,"@resp_solutions I'm only doing my job. Now, we need a vote on my bill to end the NRA-backed ban on CDC gun violence research. #DemandAVote",https://twitter.com/a/status/776238559699275777,0.226939123,0.015978104,0.318895568,0.295663369,0.937893956,0.566903121
con,I think the Democrats should stage another sit in to protest Great Britain's decision to leave the EU.  It worked so well on gun control lol,https://twitter.com/a/status/746480578506129408,0.79045739,0.614293431,0.250041834,0.07693834,0.355698922,0.518712824
lib,So proud of Dem's this week. True leadership &amp; action. Let's get some common sense gun laws in place #goodtrouble #NoBillNoBreak #DisarmHate,https://twitter.com/a/status/745682549603708929,0.712294746,0.089105095,0.56313728,0.908695468,0.461606939,0.590740304
con,@colewilliamz Not gonna say that lol but I will say that it's illegal for me to buy an assault rifle but not a pistol through gun control,https://twitter.com/a/status/742085507182526464,0.58531519,0.397331622,0.358668311,0.049676064,0.355388613,0.67113814
lib,@TheXenoMarkov what? no they dont. all of the protests have been peaceful. its someone else who was not apart of the protest who has a gun,https://twitter.com/a/status/754722624647729152,0.504679329,0.115086866,0.904950047,0.007126531,0.105619071,0.582092665
lib,@maddow scratch that. I have a 10 year old with a TBI with aggressive and impulsive tendencies. HE is the last person who should own a gun,https://twitter.com/a/status/827311287411556352,0.19658225,0.328377118,0.727276609,0.686198149,0.658295022,0.82359574
lib,"An 11 year old friend of my brother walked up to our door with a pistol at his hip...Illegal, yes, but it also shows America's gun culture.",https://twitter.com/a/status/762821492912586752,0.503874326,0.705729827,0.983215801,0.561303952,0.049055676,0.274829704
lib,"....he said ""thank you,thank you""all the while in my head I am speaking Yoruba like""moku o,e gba mi o,oloshi ni bobo yi &amp;he can have gun o",https://twitter.com/a/status/809174376906162178,0.064294545,0.973345345,0.422559574,0.036291692,0.549458772,0.982841029
con,@DanBarreiroKFAN Hey Bump Wondering if u could post a link 2 that article u referenced on the 6/12 Sermons show about gun control,https://twitter.com/a/status/742775165386260480,0.865613307,0.929678781,0.617581871,0.856254573,0.293052793,0.247972899
lib,"My heart goes out to the people who have died in Orlando and the families of those people as well, this is why gun control is a big issue",https://twitter.com/a/status/742020973990383616,0.946531025,0.84016731,0.703242948,0.135789067,0.21891796,0.993019657
con,@FaZeRug he was pointing a gun at people saying he was going to kill them if they won't buy a cd When he was on the ground he went for a gun,https://twitter.com/a/status/751993227314552832,0.912607203,0.508513693,0.192581941,0.952618767,0.192360831,0.193157306
lib,@RepMikeCoffman I am your constituent and I would like to know what you are going to do about gun violence in this country. #nobillnobreak,https://twitter.com/a/status/745761193718091776,0.292483771,0.48598352,0.346632354,0.855841958,0.13956591,0.817938473
lib,This new vote is like the Repubs are Green Goblin putting MJ &amp; a train full of people in trouble to get the Dems to choose. #NoBillNoBreak,https://twitter.com/a/status/745783707697582080,0.175501011,0.041159246,0.578897832,0.600226572,0.68967812,0.412948036
lib,"@TheFakeTycoon @fullm3t4l_raven This is why I say, you need to know how the system works. Congrats refused to hold a vote on gun control",https://twitter.com/a/status/751357001121329152,0.479247136,0.393633767,0.981005765,0.574023972,0.630170502,0.967366773
lib,Imagine how you would feel if one of your loved ones was gunned down by a weapon of war. Let's fight for gun control! #UniteBlue #TopProg,https://twitter.com/a/status/745713755355414528,0.03763034,0.429376929,0.036822338,0.186819327,0.013685357,0.685921591
con,"@TheFive #what is the wife of mr Scott telling him NOT to do??? Keith, don't do it, don't you do it Keith!!! What is she seeing! Gun maybe?",https://twitter.com/a/status/779427051233284096,0.639215832,0.078154627,0.183177194,0.873978211,0.913672684,0.812969858
lib,It's easier to talk a whore into leaving her pimp than it is to discuss gun control with the NRA whores in Congress &amp; Senate #NOBILLNOBREAK,https://twitter.com/a/status/745875196914053120,0.640490729,0.6272539,0.278549149,0.008195347,0.198649614,0.606552735
con,"As in, like assault rifles are banned. AR-15's are not Assault Rifles. You also can't buy automatics made past 1986. Learn gun the gun laws.",https://twitter.com/a/status/743587502758461440,0.224221834,0.335633609,0.549843754,0.257393476,0.347221538,0.871974657
con,@RepAlanGrayson we are under attack by the people you want to let in our country. All you can say is gun control. LOOSER!,https://twitter.com/a/status/742153428122537984,0.725600712,0.80478297,0.81274782,0.170922128,0.158270151,0.883337865
lib,"@ElBarco19 yes, after he said they'd have to shoot to stop him, drove his truck head-on at a police blockade &amp; reached for a loaded gun",https://twitter.com/a/status/791870312107290624,0.502315385,0.559608935,0.444648953,0.753402744,0.166543871,0.18844757
con,@Nero I guess people seem to love police state when they advocate gun control and gun free zones,https://twitter.com/a/status/743450894562394112,0.706712094,0.525538681,0.429247174,0.369730809,0.306235247,0.799299411
con,@_icla_ How can you go after our rights after a terrorist attack? I never hear of shootings in states that have no gun control.,https://twitter.com/a/status/748054644870553601,0.257008595,0.963406676,0.176480998,0.191971587,0.710892521,0.901669146
lib,"@USRepRodney As my USRep, I am asking you to cross party lines and support #NoBillNoBreak. Gun control should not be a partisan issue.",https://twitter.com/a/status/745756723479195648,0.696239394,0.698240062,0.293168475,0.728241624,0.552673533,0.850500874
lib,.@SpeakerRyan How is the first day of your vacation? I am doing my job today like the rest of America.  #DoYourJob #enough #NoBillNoBreak,https://twitter.com/a/status/746001966384349184,0.580214959,0.353849554,0.519458735,0.472930837,0.96399073,0.098157676
lib,It's not exploit. It's trying to find a solution to a problem that plagues us far more than others w/ gun control https://t.co/4ynSUV1nEC,https://twitter.com/a/status/742140348386922496,0.394664157,0.968192217,0.714269027,0.153727653,0.268580905,0.239297482
con,#Charlotte so the answer to all this is to smash up a police car? If you act like animals!! Watching from the UK holding a gun no book!!!,https://twitter.com/a/status/778594457109295105,0.728970071,0.252486675,0.411575317,0.768632308,0.121825788,0.417244957
con,"We all have people in our past, but don't let them define you. Make memories and love the person you are with now. Don't waste a second",https://twitter.com/a/status/824253656585371649,0.737901093,0.110769045,0.667758987,0.061970088,0.9831961,0.777935054
con,"I understand why some would call for stricter gun control measures, but gun control before self control is useless.",https://twitter.com/a/status/746188180446187520,0.346024666,0.896541442,0.927076939,0.240055107,0.304201926,0.176263076
lib,"The time for moments of silence w/o action is over. @SpeakerRyan, give us a vote! #DisarmHate #NoBillNoBreak #Enough https://t.co/adhYX8kRAr",https://twitter.com/a/status/748194648653443077,0.221775664,0.67262387,0.830838841,0.886791396,0.558882669,0.540071733
lib,"@JoaquinCastrotx @MSNBC @Morning_Joe Thank you for ""standing up"" for the majority of Americans with your sit in!  Gun control now!",https://twitter.com/a/status/745990421306716160,0.703690294,0.97351007,0.21975218,0.81966568,0.208468673,0.573812075
con,@MiracleDawn25 You look like a person who would own a glue gun. I do not. I'd be more likely to own a nail gun 😁,https://twitter.com/a/status/793986370117124096,0.330919453,0.018548859,0.461945152,0.029611964,0.286379318,0.723027814
lib,"on monday, mom &amp; I watched the American flag wave on our front porch &amp; wondered why we had it. today we remembered. THANK YOU #NoBillNoBreak",https://twitter.com/a/status/745810443038498816,0.953727494,0.587304251,0.734284424,0.078067348,0.126868958,0.563398976
con,I feel like if you are in a movie promoting violence you shouldn't be allowed to call for more gun control @mattdamon_ @LiamNeeson_,https://twitter.com/a/status/754507601530933248,0.93602648,0.280612229,0.934474726,0.832722661,0.810251814,0.342422038
lib,@danielasings just discovered u tonight &amp; saw u were in philly. I kicked myself for being late to the game but now I have a second chance!,https://twitter.com/a/status/798380041780547584,0.55399159,0.453028373,0.48761675,0.793344097,0.053180337,0.464846086
con,Heroin is illegal in this country yet we are having a heroin epidemic. Why then would we believe tough gun control would end violent crimes?,https://twitter.com/a/status/770005958558937088,0.603730115,0.750723966,0.953691945,0.104013613,0.019865841,0.615906723
lib,@SpeakerRyan Over $200K to do nothing but the bidding of the gun lobby while ppl pay with their lives. Sensible gun laws. #NoBillNoBreak,https://twitter.com/a/status/745778750944575488,0.865417126,0.700319014,0.711546194,0.735185064,0.616613051,0.486305911
lib,"May the community find care, concern, &amp; compassion for each other in the midst of tragedy. And for god's sake, gun control. #OrlandoUnited",https://twitter.com/a/status/742506073899294720,0.746413641,0.161855582,0.428218874,0.383572398,0.305645117,0.080823926
lib,Bahati is just full of creativity which Jubilee govt supports in it's manifesto.am with Bahati hapa.I wish I can sit on that seat 4 a second,https://twitter.com/a/status/774711858330820608,0.844964958,0.15680686,0.497290338,0.058970865,0.9963673,0.222333572
lib,Americans are tired of inaction—the House GOP must bring to a vote bipartisan bills to end gun violence now! #AskDems #DisarmHate #CA17,https://twitter.com/a/status/751135058040324096,0.622865598,0.255147101,0.100098568,0.635386799,0.327329291,0.48747083
con,"Obama you A-hole, call it what is is Radical Islamic Terrorist pledging allegiance to ISIS. You jack off, it's not a matter of gun control.",https://twitter.com/a/status/742064424718999552,0.229219539,0.907216177,0.71116409,0.577871048,0.337317108,0.213606506
lib,I keep on hearing the fireworks and can't help but think that they sound like gun shots...and we still have no gun control #Happy4th,https://twitter.com/a/status/750132779069771776,0.654345802,0.873828259,0.261965659,0.634848894,0.811000502,0.198926845
con,@RandPaul the investigation on Omar Mateen was closed because of his father's CIA connection and they want to push gun control.,https://twitter.com/a/status/743859706763022336,0.948860818,0.543236904,0.967503816,0.082912362,0.643951683,0.842696879
lib,Tell me about the people who were killed today. Who were they and who could they have been if some jackass with a gun didn't kill them today,https://twitter.com/a/status/742064093830381568,0.248684264,0.812385956,0.372728922,0.264564808,0.964489673,0.46232569
lib,"Honored to call @repjohnlewis my Congressman. Sir, we'll continue to march &amp; sit with you as long as we need to. #NoBillNoBreak #DisarmHate",https://twitter.com/a/status/745738650764349440,0.168883767,0.271847192,0.192768616,0.708332648,0.868150026,0.590040353
lib,The audio cast of the recent #Frontline on the rise of ISIS is a must listen as is @callyrgf recent discussion on gun control.,https://twitter.com/a/status/754465497266135041,0.604352971,0.06190876,0.516538967,0.879166715,0.439612684,0.748501654
con,"Should have gotten dishonorable dishcharge. But no even though he was kicked out of the Army for sexual harassment, he could still buy a gun",https://twitter.com/a/status/752154379961204736,0.687168316,0.691310922,0.540961645,0.501157612,0.459032646,0.279056136
lib,"We have to stand up (or sit down) and say enough is enough, and DO SOMETHING ABOUT IT. THAT IS YOUR JOB, CONGRESS. #NoBillNoBreak",https://twitter.com/a/status/745730094547767298,0.029314457,0.207848202,0.91964178,0.257434251,0.033356821,0.062229379
con,Trump will actually DO something about the radical Islamic threats on our nation instead of blaming the terrorism on poor gun control policy,https://twitter.com/a/status/742347557779734528,0.405813974,0.467482534,0.735537787,0.742134376,0.710177541,0.809951951
lib,Love and support for the victims and families involved in the Orlando massacre. Is it finally time for a nat'l dialogue abt gun violence?,https://twitter.com/a/status/743227897306054656,0.456347964,0.008510447,0.756743603,0.733812236,0.862141027,0.204623539
lib,@repjohnlewis Thank you for leading House Democrats to take a stand on common sense gun reform! #gunsense #NoBillNoBreak #holdthefloor ✊🏻,https://twitter.com/a/status/745826612512497665,0.022766401,0.822272781,0.358053394,0.211355284,0.446394603,0.818506766
con,@heckisthis.And at that point they did same thing they did after Rodney King riots-they all bought more guns.BHO best thing 4 gun sales ever,https://twitter.com/a/status/752550202188271616,0.046875222,0.660014119,0.830760324,0.32041263,0.549068192,0.25370346
lib,Dr. King often said that an eye for an eye will leave is all blind. We will continue to have mass killings until we change  our gun culture,https://twitter.com/a/status/742397127075102721,0.71018586,0.428586438,0.104392064,0.82221605,0.32780115,0.69417515
lib,I am proud to join my colleagues &amp; local leaders in solidarity and against hate. And to put an end to gun violence. https://t.co/OWAOTRVSsd,https://twitter.com/a/status/742433133048401924,0.388604969,0.28377923,0.670524257,0.049159372,0.495193983,0.269764508
lib,@SpeakerRyan I really wish you would pay attention to the voices of the people &amp; not the @NRA or the padding of your wallet #NoBillNoBreak,https://twitter.com/a/status/745750617130360832,0.943418179,0.004070811,0.572213315,0.270806236,0.514735895,0.91423729
lib,Shame on the Republicans in the House who are slinking out in the middle of the night. Hot date with your NRA donors? #NoBillNoBreak,https://twitter.com/a/status/745868974752169984,0.683318763,0.479454637,0.041864031,0.445169743,0.730056585,0.939048884
con,"Liberals: ""Let's print stickers that say 'We love Muslims' and stick them on all body bags!"" That'll do...cause...stuff!"" Gun control",https://twitter.com/a/status/748186770185957376,0.488957143,0.700253372,0.352773875,0.253990518,0.481287967,0.698394032
lib,@RepMcGovern THANK YOU for sitting in &amp; standing up for what's right. Gun control is so essential. So proud to be from MA. #NoBillNoBreak,https://twitter.com/a/status/745851525067603970,0.092254754,0.416908542,0.454144722,0.977850248,0.270330437,0.176272669
lib,".@SpeakerRyan, we will not leave without acting for the victims &amp; families of reckless gun violence. #NoBillNoBreak https://t.co/eTB1WMATMd",https://twitter.com/a/status/745949320927666176,0.705776677,0.235139442,0.794231414,0.472516252,0.327446817,0.786738917
con,@GreggDoyelStar you owe Jeff Teague an apology. Been playing at an all-star level since his slow start. You jumped the gun with your column,https://twitter.com/a/status/828070033012228096,0.968347012,0.708937134,0.581248226,0.434700154,0.302035374,0.265776757
lib,@amyschumer Hey Amy! I'm a huge fan of yours! I'd really love if if you'd sign my petition to end gun violence! https://t.co/1stalOH9l0,https://twitter.com/a/status/742890450898563072,0.551719825,0.395276118,0.733117044,0.31556779,0.678164582,0.234877846
lib,"#PrayersForOrlando ❤️ can't believe this, just two days after christina in Orlando ?! Maybe this will open people's eyes to gun control",https://twitter.com/a/status/742009029594120193,0.592432177,0.315964204,0.500995371,0.136131811,0.366962472,0.975867405
lib,"No to #homophobia 
No to #violence
No to all the bullshit some think they can pull because they have a gun
#Orlando",https://twitter.com/a/status/742061803203661825,0.177230493,0.067437999,0.650427661,0.249695485,0.368361741,0.508908157
lib,Instead limiting those whom can get the gun would have stopped it since the person had the past history. Pass a strict gun control law,https://twitter.com/a/status/742662739559120896,0.389600365,0.303744661,0.693892285,0.969793484,0.353542545,0.085549173
con,"@Joseph_Brand0 @weknowwhatsbest something a lib Harvard grad would say....easy to buy a book, gotta go out of ur way to get an illegal gun",https://twitter.com/a/status/753243714739314690,0.198453178,0.316933241,0.271500284,0.250240517,0.009189565,0.893219617
lib,"""To actively do nothing is a decision as well"" - @POTUS asking Americans to take action on gun control legislation #orlando #pulsemassacre",https://twitter.com/a/status/742055153738612737,0.970539307,0.850318709,0.103013452,0.812207859,0.046081397,0.998453479
lib,"why am i single you ask? 
because i interrupt conversations and yell things about consensual sex and gun control",https://twitter.com/a/status/805629576932192257,0.417239337,0.375598837,0.867776079,0.140038579,0.198751402,0.751118617
lib,The GOP is owned by the NRA / In wake of Orlando mass murder Senate rejects all four proposed gun control amendments https://t.co/A7dmtnLMqU,https://twitter.com/a/status/745031923655860225,0.30331796,0.848993726,0.921591461,0.152870423,0.126835097,0.521479714
con,@Big_Al0920 @BuzzFeedNews @tweetwen115 That is just not logical to me. You could clearly hear on wife's vid the cops tell him drop the gun,https://twitter.com/a/status/780087383358312450,0.662797206,0.135339893,0.969293167,0.445894057,0.949195694,0.19138812
lib,Queens represent! So proud of my @repjoecrowley &amp; the dems holding the floor! We need a gun safety bill now!! #NoBillNoBreak #NoMore,https://twitter.com/a/status/745732725362008065,0.134158235,0.568574035,0.054983305,0.002916311,0.710676003,0.666617385
lib,"@HouseGOP You should be ashamed of yourselves. What a spineless, selfish bunch. Please, come to your senses, and vote for gun control.",https://twitter.com/a/status/745853438500741121,0.119805178,0.156219423,0.416388877,0.447363241,0.037298783,0.416667782
con,"@RhodaMuslim neighbors had some interesting statements. Again, not a good idea 2 load, point &amp; threaten cops with a gun with a child shield",https://twitter.com/a/status/760586333748391936,0.250137548,0.340983917,0.035990414,0.174350517,0.43569314,0.660158405
con,@crarubcrumpits that doesnt even make sense. To shoot someone is a voluntary action of the shooter to pick up a gun and shoot some1 else.,https://twitter.com/a/status/742133315214401536,0.621443755,0.703452882,0.477250881,0.484054113,0.926685382,0.961957087
lib,"3 things need to change in the USA
1. Better education
2. How we deal w/mental illness
3. Gun control.
Get on that, #lawmakers 
#NotOneMore",https://twitter.com/a/status/742370832064913409,0.956127206,0.325507887,0.183318885,0.470896801,0.143808194,0.614220328
lib,Thank you @ChrisVanHollen for fighting for #Maryland. You have my support and my vote in November. #holdthefloor #NoBillNoBreak #Enough,https://twitter.com/a/status/745691566505811968,0.22905889,0.509133137,0.462445811,0.765353952,0.875113047,0.112846645
con,"@paigesreifIer We're not supposed to paint all Muslims with the same brush, But I suppose it's ok to do it with all gun owners?",https://twitter.com/a/status/742982603943350272,0.607990584,0.846876127,0.78855015,0.812147158,0.949978547,0.824265848
con,"There are 2 kinds of people, one who sees only the hordes of walkers,the others who only see the man with the silver gun #WalkingDead",https://twitter.com/a/status/760857069570457601,0.941845103,0.848915384,0.870709982,0.393721222,0.381724454,0.052095835
con,As usual #CNN Reporters =Bad at their job...Do a story on Chicago and their heave gun control laws. https://t.co/vOxqeA1UAP,https://twitter.com/a/status/746346123959336960,0.328700348,0.578137298,0.501436516,0.6620495,0.845881561,0.775546466
lib,.@people Thank you so much for highlighting the work of .@MomsDemand. The majority of Americans want sanity restored to our gun laws.,https://twitter.com/a/status/814972528426975232,0.513661615,0.1722334,0.213536481,0.211867811,0.170320328,0.268395454
lib,"They look good, Are they taking breaks to nap and shower? Is Paul Ryan asleep? Is he watching? Are their butts sore? #NoBillNoBreak",https://twitter.com/a/status/745827924536758272,0.499784602,0.950969542,0.582752652,0.886256102,0.895379463,0.687828512
lib,Guns will never go away in this country but it's pretty sad when it's harder to get your driver's license than it is a gun,https://twitter.com/a/status/742018193502408704,0.592747194,0.271270895,0.553177585,0.544361611,0.668946151,0.224813844
lib,I wish I could sit with my fellow @HouseDemocrats. Keep up the hard work. Keep speaking up for all of us. We're with you. #NoBillNoBreak,https://twitter.com/a/status/745748118994464770,0.06976998,0.037165208,0.049075927,0.042408879,0.609985162,0.37609172
lib,@RepSwalwell on #Periscope Its 5AM house Dems continue 2 demand action to end gun violence #NoBillNoBreak https://t.co/rriSWjhRpK,https://twitter.com/a/status/745905016590991361,0.204404166,0.939333644,0.076140009,0.168110547,0.962190117,0.007266454
lib,Thankful to my rep - @sethmoulton - and all Dems taking a stand to fight gun violence #NoBillNoBreak - stay strong! https://t.co/blXjw0NMGN,https://twitter.com/a/status/745947592316583936,0.099881869,0.336080845,0.310052655,0.817098269,0.262929602,0.380762857
con,Living in the country is fun until a bullet ricochets over your head because the meth head down the road got a new gun for Christmas.,https://twitter.com/a/status/814613417277423616,0.231924188,0.605762345,0.787394142,0.201201394,0.782380118,0.160010116
lib,@ShamaJunejo @guardian why the worhld is not ready to accept Taliban point of view or they will have to enforce it through barrel of gun,https://twitter.com/a/status/747832175710638084,0.875069428,0.245001567,0.435015169,0.230739872,0.964672279,0.854362135
con,"ISIS, the ""jayvee team"" per Obama, has just claimed credit for the deadliest mass shooting on U.S. soil in history. Gun control my ass",https://twitter.com/a/status/742072436951154688,0.226621,0.041120465,0.175802184,0.920316807,0.474403919,0.281578859
lib,If you voted @realDonaldTrump you own this- you own every last piece of history for at least 4 years. And dont you bitch for 1 second abt it,https://twitter.com/a/status/808010743622864896,0.22837375,0.690418389,0.715360944,0.958074463,0.318073063,0.125406499
lib,"Best of luck to the American people, the overwhelming majority of whom support some form of gun control, in their efforts. #NoBillNoBreak",https://twitter.com/a/status/745765280538832897,0.402903023,0.686730201,0.314837832,0.294826732,0.758040339,0.774896473
lib,7 million and 2 year investigation for 4 dead in #BenghaziHearings .  What about the 1000's dead in needless gun violence #whereIsTreyNow,https://twitter.com/a/status/750707355705368576,0.728468113,0.019401734,0.761817642,0.804526312,0.317325329,0.026016783
con,@RandomHero30 @EchoesErrant @sethmoulton his end game in like all gun controllers not gun control but people control,https://twitter.com/a/status/744531592354271232,0.925947216,0.947039206,0.818096524,0.194728422,0.904626057,0.6928461
lib,The # of pple killed by #OmarMateen in #PulseNightclub is even hard 2 kill them with #VBIED. #US needs gun control.,https://twitter.com/a/status/742012614205542400,0.94978555,0.207824914,0.647604529,0.639455196,0.868466173,0.384267028
lib,I'm so proud that some members of Congress stand up for the will of the American people over the will of the NRA. #NoBillNoBreak,https://twitter.com/a/status/745776547051737094,0.754647011,0.21612385,0.543453775,0.163202684,0.698695853,0.943193303
lib,"Guns killed over 33,000 people last year.
That's 91 people EVERY DAY,
And 53 people who died during the 14 hour sit in.
#NoBillNoBreak",https://twitter.com/a/status/745852871716016129,0.712790664,0.043832062,0.58078084,0.40165556,0.297751791,0.221086951
lib,@LindseyGrahamSC stop sending your thoughts and prayers and start taking action. We need common sense gun control laws.,https://twitter.com/a/status/742411433967792129,0.063422247,0.102437792,0.839959231,0.897893511,0.423452772,0.422413623
lib,"Isn't the purpose of a sit-in to bring attention to an issue, I.e. publicity? We want publicity! We want action! @SpeakerRyan #Nobillnobreak",https://twitter.com/a/status/745829808777609216,0.348630107,0.875345828,0.671121762,0.189798064,0.692331585,0.405383883
lib,Quick question....if you know blk boys are being killed by cops why is your 13 year old walking with a BB gun at night? #Tyreeking,https://twitter.com/a/status/776482841525878784,0.684121419,0.820308285,0.086933536,0.107205629,0.148621392,0.252460486
lib,@RepLindaSanchez I couldn't be more proud to be female than listening to you speak on behalf of gun violence control we desperately need.,https://twitter.com/a/status/745824156281757697,0.454609699,0.784695357,0.036916862,0.957079114,0.386263545,0.107373159
lib,@HouseDemocrats keep up the fight! Speak for those who can't and families who have suffered! #EnoughIsEnough #DisarmHate #NoBillNoBreak,https://twitter.com/a/status/746015388475920388,0.606415578,0.489688306,0.689192426,0.548709024,0.509232299,0.268372006
lib,"#OurRevolution Bern lost the elect cause he didnt appeal to Minorities. Its over!Unite with Dems and help get gun control ""no fly no guns""",https://twitter.com/a/status/743618300760883200,0.383919011,0.264038446,0.834293521,0.739488475,0.579006923,0.064345753
lib,@realmikefox @POTUS why isn't it a good idea for the police in the United States be the ones to make gun laws?,https://twitter.com/a/status/745812335462342656,0.157366564,0.66349809,0.380241522,0.654822364,0.591242342,0.442875338
lib,Damn right we didn't elect the @NRA to run our #USSenate! We need to elect House members that will stand up &amp; against them. #NoBillNoBreak,https://twitter.com/a/status/745758397329342464,0.562711263,0.291093709,0.489786282,0.997359065,0.951714847,0.538691736
lib,"@MrJLangley I knew you didn't mean everyone. The @NRA funds the @GOP politicians, so they in turn block any gun control to keep their job.",https://twitter.com/a/status/751308076330971136,0.974808599,0.871235453,0.325587407,0.566451805,0.912573562,0.683646207
lib,John Lewis is leading a protest on the House floor demanding a vote on gun control. #NoBillNoBreak,https://twitter.com/a/status/745691415376703488,0.816973166,0.968387493,0.248027113,0.3118145,0.140191598,0.195482994
con,and at the end of the day the government will want to use this situation to push forth gun control laws smh just watch,https://twitter.com/a/status/751262297452998656,0.277929092,0.553739675,0.762646597,0.811697397,0.593841618,0.441115848
con,@tonykatz: Why'd Andre Carson wait until 2 hours b4 polls close to address Cat Ping's car being hit by bullet &amp; push gun control? 🤔,https://twitter.com/a/status/796104563732451328,0.67306002,0.078231769,0.165621393,0.879928638,0.557555279,0.823078108
